name,location.latitude,location.longitude,Number of Floors,Status,Year Built,Height in feet,Number of Units
Park Lane Ala Moana,21.291428,-157.847366,8,completed,2017,117,215
Parkside Tower,21.291744,-157.828164,25,completed,1980,243,88
Puanhou Cliffs,21.303061,-157.834212,11,completed,1984,112,80
Queen Emma Gardens - King Tower,21.314512,-157.855677,22,completed,1964,233,582
Queen Emma Gardens - Prince Tower,21.314512,-157.855677,22,completed,1964,122,582
Queen Emma Gardens - Queen Tower,21.314512,-157.855677,22,completed,1964,233,582
Queen Victoria Residences,21.302898,-157.845785,16,completed,1990,162,51
Regency on Beachwalk,21.280072,-157.830882,9,completed,1961,0,48
Royal Capitol Plaza,21.302012,-157.855622,39,completed,1987,396,299
Royal Court,21.30142,-157.851173,17,completed,1970,172,112
Royal Iolani Diamond Head Tower,21.2858696,-157.8234863,38,completed,1978,350,295
Royal Iolani Ewa Tower,21.2864399,-157.8240662,38,completed,1978,350,296
Sans Souci,21.262908,-157.82137,15,completed,1960,142,10
Seabreeze Apartments,21.258088,-157.81868,11,completed,1959,112,0
Sky Ala Moana East Tower,21.294186,-157.843589,43,under construction,2022,416,615
Sky Ala Moana West Tower,21.294186,-157.843589,43,under construction,2022,416,615
Summer Palace,21.28883,-157.837677,25,completed,1976,254,146
Sunset Towers,21.289464,-157.839234,20,completed,1969,203,81
Symphony Honolulu,21.29985046,-157.8525696,45,completed,2016,400,388
Tahitienne,21.259681,-157.819494,9,completed,1957,91,31
The Central Ala Moana,21.293054,-157.844173,43,under construction,2021,436,512
The Collection,21.29880905,-157.8622742,43,completed,2016,422,397
The Pinnacle Honolulu,21.31019974,-157.8586884,36,completed,2008,375,38
"The Ritz-Carlton Residences, Waikiki Beach, East Tower",21.28223038,-157.829834,38,completed,2016,362,308
The Villa on Eaton Square,21.287135,-157.836095,36,completed,1974,335,425
The Waiea,21.29360008,-157.8540039,36,completed,2017,418,171
The Watermark Waikiki,21.28742981,-157.8380737,38,completed,2008,373,212
The Windsor,21.28598976,-157.8373413,44,completed,1983,350,181
Trump International Hotel Waikiki Beach Walk,21.279626,-157.832051,38,completed,2009,368,462
Uraku Tower,21.29393,157.845664,29,completed,1990,294,92
Vanguard Lofts,21.3015,-157.854173,6,completed,2009,61,36
Victoria Place,21.293694,-157.854745,0,under construction,0,418,350
Waihonua at Kewalo,21.29328918,-157.8483124,43,completed,2015,418,345
Waikiki Banyan MakaiTower,21.274856,-157.821056,37,completed,1979,350,877
Waikiki Banyan Mauka Tower,21.274856,-157.821056,37,completed,1979,350,877
Waikiki Beach Tower,21.275093,-157.823968,39,completed,1984,347,140
Waikiki Landmark,21.28822,-157.834132,35,completed,1993,320,217
Waikiki Shore,21.278579,-157.833036,15,completed,1960,152,0
Waikiki Sunset,21.274375,-157.820542,37,completed,1979,341,435
Waipuna Apartments,21.286874,-157.834585,38,completed,1971,343,406
Yacht Harbor Tower I,21.28862,-157.8397064,40,completed,1973,350,459
Yacht Harbor Tower II,21.28906059,-157.8406525,40,completed,1973,351,459
